BatchSize,HiddenNodes,WeightNonbinding,WeightBinding,LearningRate,Epochs,Momentum,BestCutoff,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,MCC
500,20,0.1,0.1,5e-05,200,0.5,0.15,1449,16442,10,0,0.0070162900533959315
500,20,0.1,0.1,5e-05,200,0.6,0.18,1449,16440,12,0,0.007686390299786543
500,20,0.1,0.1,5e-05,200,0.7,0.14,1449,16447,5,0,0.004960573157951639
500,20,0.1,0.1,5e-05,200,0.8,0.17,644,5397,11055,805,0.06714239957175662
500,20,0.1,0.1,5e-05,200,0.9,0.11,1005,9151,7301,444,0.07561783202080953
500,20,0.1,0.1,5e-05,260,0.1,0.37,1,0,16452,1448,0.025185387786124554
500,20,0.1,0.1,5e-05,260,0.2,0.21,1449,16447,5,0,0.004960573157951639
500,20,0.1,0.1,5e-05,260,0.3,0.15,1442,16304,148,7,0.012261317313249868
500,20,0.1,0.1,5e-05,260,0.4,0.16,1443,16344,108,6,0.008310558599643416
500,20,0.1,0.1,5e-05,260,0.5,0.21,1398,15659,793,51,0.016734109533062248
500,20,0.1,0.1,5e-05,260,0.6,0.16,1383,15150,1302,66,0.03448602989044727
